X;dbh_mm;height_dm;stock_mR
1;556;3525;4,250289186
2;232;2619;0,66972139
3;205;2570;0,452591959
4;367;3376;1,98639804
5;422;3180;2,385159539
6;414;3010;3,150712157
7;100;1670;0,069615491
8;160;1715;0,218467917
9;105;1740;0,077907755
10;269;2190;0,475110468
11;436;2740;2,401137106
12;564;2860;4,435892263
13;474;3090;3,470951968
14;664;3330;7,257934555
15;258;2930;0,913932478
16;160;1640;0,202657794
17;83;1530;0,043916086
18;492;3090;3,779154488
19;389;3360;2,05850312
20;352;2710;1,293528374
21;119;1650;0,106972545
22;80;1670;0,04777459
23;319;2460;1,013073222
24;485;3190;2,683551033
25;96;1640;0,061516188
26;202;1710;0,321022703
27;180;1780;0,234771657
28;119;1610;0,083942695
29;298;2190;0,964870147
30;281;2630;0,800038325
31;322;2340;1,236574215
32;216;2010;0,414048014
33;379;2110;1,459590737
34;508;2320;3,037317326
35;408;2720;2,016943639
36;188;2230;0,382472898
37;219;2600;0,54243769
38;291;2650;0,972470993
39;242;2410;0,672677316
40;252;1530;0,523355553
41;122;1310;0,070303472
42;191;1860;0,28773076
43;281;2150;0,726159727
44;224;2000;0,454001645
45;170;2120;0,255751918
46;192;1920;0,344229685
47;192;1880;0,293605669
48;238;1890;0,438485275
49;195;2020;0,317567535
50;210;1890;0,400508602
51;139;1960;0,159761802
52;234;1990;0,491173852
53;182;2090;0,319674787
54;540;3250;5,046019848
55;570;3200;4,44178668
56;620;3450;6,217319758
57;683;3150;8,88215692
58;513;2870;3,36706171
59;590;2880;4,463762339
60;665;3130;6,38688573
61;329;2500;1,253370922
62;678;3050;7,466124937
63;624;3210;6,759449536
64;321;3190;1,77727691
65;190;1980;0,302309856
66;387;2770;1,941825494
67;260;1940;0,545726871
68;254;1960;0,595327531
69;381;2100;1,39558593
70;406;2160;1,907689467
71;299;1940;0,818438791
72;353;2760;1,289244792
73;383;2780;1,924935239
74;298;2750;0,974511095
75;245;2830;0,818341588
76;340;2580;1,360482989
77;214;1420;0,390238047
78;167;1720;0,223451637
79;165;1520;0,166586468
80;399;2950;2,11459617
81;305;2850;1,185303623
82;443;2840;2,336964305
83;281;2880;0,997442008
84;292;2560;0,880053703
85;139;1920;0,164408084
86;361;2660;1,690906482
87;200;2680;0,436843028
88;199;2280;0,439519713
89;235;2040;0,427583651
90;354;2830;1,664327748
91;570;3170;4,651807161
92;492;3000;3,096200527
93;139;1640;0,135518393
94;178;1670;0,286277334
95;200;1610;0,364311315
96;174;1560;0,22110524
97;228;2100;0,382135602
98;751;3460;10,98180118
99;313;2760;1,143580159
100;235;1930;0,485091271
101;229;2480;0,468135091
102;401;3270;2,190252546
103;410;3110;2,331862342
104;367;3190;1,831723666
105;358;3100;1,77699408
106;348;3090;1,714433399
107;306;2530;1,111536978
108;193;2430;0,419368768
109;122;1670;0,110235878
110;149;2080;0,226500132
111;323;3120;1,354828719
112;222;2620;0,53424609
113;571;3740;5,18555241
114;526;3630;4,460795447
115;697;3750;7,526033167
116;783;3780;9,021406661
117;584;3850;5,396387015
118;438;2960;2,725581565
119;278;2560;0,758529384
120;348;2730;1,609154025
121;375;2660;1,831927545
122;396;2680;2,137660384
123;703;2720;7,655922735
124;618;2670;5,611741026
125;606;2610;6,480309125
126;558;2630;6,795474375
127;722;2760;8,848384275
128;401;2510;1,910171429
129;303;2430;1,159880487
130;379;2640;1,883559726
131;348;2340;1,483481394
132;132;1680;0,12225017
133;418;2580;1,971733869
134;656;2920;6,037984712
135;683;2960;7,585009359
136;565;2520;4,122238765
137;628;2590;4,738457695
138;352;2500;1,389414623
139;439;2500;1,847867748
140;412;2410;1,899472371
141;346;2580;1,339697072
142;188;1470;0,196304811
143;431;2530;2,273252338
144;179;1440;0,208766321
145;181;1520;0,204229027
146;445;2180;1,978500981
147;437;3090;3,08721394
148;428;3000;2,488847572
149;450;3000;3,077499345
150;533;3220;5,336287394
151;545;3090;5,168885584
152;488;3160;3,57628425
153;400;2930;2,176689559
154;499;2980;3,276967416
155;428;3050;2,349711528
156;471;3000;3,453321783
157;340;2340;1,214136307
158;356;2400;1,420940282
159;263;2050;0,556481883
160;397;3090;1,942421586
161;429;3340;2,463631615
162;325;3280;1,264849462
163;365;2700;1,684530438
